id,vendor_id,pickup_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration
id2313912,1,2016-02-18 08:10:16,1,-73.9949722290039,40.74633026123047,-74.01119232177734,40.71343994140625,N,617
id1163462,2,2016-01-13 21:53:56,5,-73.97307586669923,40.7602767944336,-73.95877075195312,40.78183364868164,N,546
id2080820,2,2016-06-19 01:38:39,1,-74.00245666503906,40.739688873291016,-73.97148895263672,40.7635612487793,N,678
id1791040,2,2016-01-31 09:45:18,1,-74.00953674316406,40.70563888549805,-73.99678802490234,40.71490097045898,N,386
id0582235,2,2016-06-14 07:34:24,1,-73.98603057861328,40.7607307434082,-73.98002624511719,40.7505989074707,N,850
id2556701,2,2016-04-05 13:55:40,1,-74.00397491455078,40.7256088256836,-73.99137878417969,40.74475860595703,N,864
id3572460,1,2016-01-25 13:15:46,2,-73.97415924072266,40.7638053894043,-73.9870834350586,40.7429313659668,N,1196
id1082662,2,2016-03-21 13:22:45,3,-73.98356628417969,40.74758911132813,-73.98464965820312,40.73962020874024,N,305
id2408063,1,2016-01-08 04:07:54,1,-74.00154876708984,40.73059463500977,-73.99687957763672,40.73712539672852,N,77
id3585879,2,2016-01-01 23:03:15,1,-73.9847183227539,40.77402877807617,-73.97467803955078,40.753921508789055,N,498
id3827138,2,2016-02-15 18:53:02,1,-73.99281311035155,40.74541091918945,-73.98087310791014,40.75614929199219,N,579
id1606872,2,2016-03-07 00:54:06,1,-73.99288940429686,40.72698593139648,-74.00090026855469,40.73091125488281,N,185
id1531083,2,2016-05-06 14:48:29,1,-73.95179748535155,40.769546508789055,-73.93911743164062,40.75100708007813,N,1106
id2228612,1,2016-05-19 01:50:25,1,-73.99978637695312,40.73475646972656,-74.01203155517578,40.70732116699219,N,528
id0355793,1,2016-06-28 08:21:13,1,-73.95848846435547,40.76472091674805,-73.96636962890625,40.75362014770508,N,490
id3600822,1,2016-04-16 15:19:18,1,-73.99447631835938,40.74045181274415,-73.98710632324219,40.74186706542969,N,280
id3719201,2,2016-02-09 23:21:56,1,-74.0040512084961,40.7420768737793,-73.97862243652342,40.72415542602539,N,759
id2518051,1,2016-01-20 17:55:56,1,-73.98695373535155,40.72073745727539,-73.977294921875,40.7138557434082,N,325
id2236848,1,2016-02-11 08:52:38,1,-73.95659637451173,40.78049087524415,-73.9719009399414,40.759674072265625,N,851
id2297855,1,2016-06-03 06:45:21,1,-73.94437408447266,40.775745391845696,-73.95494842529298,40.776756286621094,N,319
id0881509,2,2016-05-18 17:24:05,4,-73.98416137695312,40.77975845336913,-73.97583770751955,40.78950119018555,N,482
id1375911,1,2016-04-17 13:12:20,1,-73.98131561279298,40.781883239746094,-73.98737335205078,40.77915573120117,N,143
id3228352,2,2016-04-01 18:49:45,1,-74.00484466552734,40.74200439453125,-73.97814178466798,40.74246597290039,N,817
